Weekend,this_weekend,last_weekend,Title,Studio,Weekend Gross,pct_change,Theater Count,Change,Average,Total Gross,budget_mills,week_number
2019-08-23,1,N,Angel has Fallen,LGF,21380987,-,"3,286",-,6507,21380987.00,40,1
2019-08-23,67,69,Unplanned,PFR,6214,1.15,1,-,6214,19004159.00,6,22
2019-08-23,48,N,Fiddler: A Miracle of Miracles,RAtt.,36425,-,7,-,5204,36425.00,-,1
2019-08-23,53,N,Tigers are Not Afraid,Vari.,30710,-,6,-,5118,30710.00,-,1
2019-08-23,3,N,Overcomer,Affirm,8146533,-,"1,723",-,4728,8146533.00,5,1
2019-08-23,45,35,Exit,CJ,40086,-0.34,11,-2,3644,345372.00,-,4
2019-08-23,66,48,The Bravest,Sony,7015,-0.76,2,-31,3508,278109.00,-,3
2019-08-23,2,1,Good Boys,Uni.,11635655,-0.46,"3,353",149,3470,41943160.00,20,2
2019-08-23,71,N,Vita and Virginia,IFC,3408,-,1,-,3408,3408.00,-,1
2019-08-23,42,31,Line Walker 2 Invisible Spy,WGUSA,46055,-0.53,15,-2,3070,205967.00,-,2
2019-08-23,12,20,The Peanut Butter Falcon,RAtt.,2974391,9.34,996,947,2986,3693740.00,-,3
2019-08-23,6,N,Ready or Not,FoxS,8015590,-,"2,855",-,2808,11043738.00,6,1
2019-08-23,74,N,Genese,FM,2585,-,1,-,2585,2585.00,-,1
2019-08-23,75,N,RUSH: Cinema Strangiato 2019,Trafalgar,2580,-,1,-,2580,957106.00,-,1
2019-08-23,19,16,Mission Mangal,FIP,655056,-0.52,263,-,2491,2713267.00,-,2
2019-08-23,5,3,The Lion King (2019),BV,8065231,-0.35,"3,300",-260,2444,510550966.00,260,6
2019-08-23,4,2,Fast & Furious Presents: Hobbs & Shaw,Uni.,8068380,-0.43,"3,312",-445,2436,147629635.00,200,4
2019-08-23,76,60,End of the Century (2019),CGld,2424,-0.76,1,-,2424,17250.00,-,2
2019-08-23,10,8,Once Upon a Time in Hollywood,Sony,5005400,-0.35,"2,209",-295,2266,123192867.00,90,5
2019-08-23,8,5,Scary Stories to Tell in the Dark,LGF,5867926,-0.41,"2,827",-308,2076,50357128.00,25,3
2019-08-23,27,33,After the Wedding (2019),SPC,154115,0.83,81,55,1903,348647.00,-,3
2019-08-23,9,6,Dora and the Lost City of Gold,Par.,5331043,-0.38,"2,843",-892,1875,43230996.00,49,3
2019-08-23,54,52,Aquarela,SPC,23983,-0.03,13,8,1845,62547.00,-,2
2019-08-23,61,44,The Divine Fury,WGUSA,11759,-0.73,7,-16,1680,83507.00,-,2
2019-08-23,31,23,Batla House,VPD,103962,-0.51,62,-19,1677,447358.00,-,2
2019-08-23,15,12,Spider-Man: Far from Home,Sony,1682473,-0.4,"1,008",-507,1669,379751480.00,160,8
2019-08-23,7,4,The Angry Birds Movie 2,Sony,6382267,-0.38,"3,869",-,1650,27108630.00,65,2
2019-08-23,36,36,Tel Aviv on Fire,Cohen,60622,0.01,37,6,1638,317767.00,-,4
2019-08-23,72,64,Buñuel in the Labyrinth of the Turtles,GK,3261,-0.43,2,-,1631,18576.00,-,2
2019-08-23,80,92,Diamantino,KL,1630,9.45,1,-1,1630,69485.00,-,14
